id,url,state,action,background,additional_details,signature_count,date_created,date_responded,date_debated,is_environmental,openai_explanation
608056,https://petition.parliament.uk/petitions/608056.json,closed,Nationalise Energy Companies,"The Government needs to take back ownership of strategic energy assets.  It needs to accept that the Free Market has failed the energy sector, that it is in the national interest to renationalise our energy assets.  The Government must therefore renationalise all the UK energy assets.","People are already having to choose whether to heat or eat. Token gestures of mandatory loans & stripping local authorities of much needed monies to mitigate bulk cost increases, mismanagement of the energy sector & the whim of the market are not good enough.   This country needs a 25 year strategic plan and needs to be guided away from unstable fossil fuel dependancy. The Government needs to own the energy assets in order to achieve this, tackle climate change & protect service users interests.",109310,2022-02-04T13:39:05.740Z,2022-09-01,2022-10-31,False,This petition is not environmental in nature.
574678,https://petition.parliament.uk/petitions/574678.json,closed,Introduce charges on carbon emissions to tackle climate crisis and air pollution,"Air pollution kills 64,000 people in the UK every year, yet the Government provides annual fossil fuel subsidies of £10.5 billion, according to the European Commission. To meet UK climate targets, the Government must end this practice and introduce charges on producers of greenhouse gas emissions.","A ‘carbon charge’ would encourage industries and organisations to reduce their carbon emissions, and could raise billions for the UK economy. The Government can ensure the charge does not unfairly impact those who cannot afford to pay by using some of the money raised to support low income households through the low-carbon transition. The UK should also utilise its position as host of COP26 and the G7 summit to drive global progress on carbon pricing.",108802,2021-02-09T20:37:43.893Z,2021-03-30,2021-11-01,True,This petition is related to carbon emissions and air pollution.
550379,https://petition.parliament.uk/petitions/550379.json,closed,Protect the UK's dwindling hedgehog population before it's too late.,"Now the hedgehog has been listed as vulnerable to extinction in the UK, we are calling on the Government to move hedgehogs to schedule 5 of the Wildlife & Countryside Act 1981 to allow them greater protection.",This change will mean hedgehogs will be afforded greater protection and hopefully help their numbers recover.,108329,2020-09-06T07:54:47.471Z,2020-10-19,2021-07-05,True,This petition is related to wildlife conservation.
594155,https://petition.parliament.uk/petitions/594155.json,closed,We demand that the Gurkhas receive equal pensions,We are demanding that the government treats Gurkhas fairly and pays them the same pension as other British veterans of the same rank and service. Many Gurkhas joined the Queen’s Gurkha Army believing their pension would sustain them and their families but sadly this has not been the case.,Gurkhas served the crown and British yet many Gurkhas and their widows live in poverty in the UK and their relatives are forced into modern slavery in countries like Saudi Arabia. We shouldn't treat our heroes like this. So we are demanding all Gurkha veterans are paid an equal pension to other British veterans. That includes veterans from pre-1997.,108278,2021-08-05T08:53:39.634Z,2021-08-19,2021-11-22,False,This petition is not environmental in nature.
300412,https://petition.parliament.uk/petitions/300412.json,closed,Extend the transition; delay negotiations until after the coronavirus outbreak,"The government should consider delaying negotiations so they can concentrate on the coronavirus situation and reduce travel of both EU and UK negotiators. This would necessitate extending the transition period; as there can only be a one off extension, this should be for two years.","The coronavirus situation will inevitably require effort from the government and they should not be dealing with EU negotiations at the same time. A two year extension will ensure that we have the time and energy to properly negotiate a deal. The country will be hit financially and socially by the impacts of this virus. We cannot risk a ‘no deal’ impact on top of this. 
Additionally, government and EU negotiators should be limiting travel at this time.",107438,2020-03-05T10:02:05.863Z,2020-04-09,2020-10-05,True,This petition is related to climate change and reducing greenhouse gas emissions.
333693,https://petition.parliament.uk/petitions/333693.json,closed,Ban the shooting of badgers immediately,"Shooting of Badgers is licensed by Natural England as part of the DEFRA Badger cull. 24,000+ Badgers were shot in 2019.","Shooting is poorly monitored and Wild Justice believes it has never met the animal welfare standards recommended by a 2014 Independent Expert Panel, whose recommendations were accepted by DEFRA. This method of culling is inhumane and should be banned immediately.",106108,2020-08-03T05:35:01.961Z,2020-10-12,2022-03-21,True,This petition is related to wildlife conservation.
552017,https://petition.parliament.uk/petitions/552017.json,closed,Stop Forestry England granting licenses for Fox & Hare hunts,"For the most recent hunting season, Forestry England gave hunting licences for 34 fox & hare “trail hunts”. Despite hunting wild mammals with dogs being illegal, two of the licensed/previously licensed trail hunts have been associated with convictions under the Hunting and Animal Welfare Acts.","Other licensed fox hunts have recently been in the press for alleged trespass, killing foxes, losing control of their dogs & for another criminal conviction. A saboteur was severely injured at a hunt in early September that ordinarily receives a licence from Forestry England. 

It is only a matter of time before more convictions and more bans will have to be implemented. The answer is simple and effective – stop granting licences to hunts that are continuing to use the myth of ‘trail hunting’ to chase and kill wildlife.",104705,2020-09-22T11:23:38.045Z,2020-12-07,2022-04-25,True,This petition is related to wildlife conservation.
567681,https://petition.parliament.uk/petitions/567681.json,closed,Grant an urgent Amnesty to Undocumented Migrants living in the UK,"Undocumented Migrants are suffering  in silence, with no access to adequate Financial support, or any help. The Government should grant an urgent Amnesty of 5years to those with no criminal record so that they could live their lives as normal human beings and pay tax to help the UK economy.","The current pandemic has created a more hostile environment for undocumented migrants. The Government should grant an immediate Amnesty to the Undocumented Migrants with no criminal record, to enable them to live their lives as decent human beings and help the Country economically. Since the migrants are already in the UK, it would not only be cost effective but would make sense to keep them in the UK and grant them citizenship so that they are granted their basic human rights.",103441,2021-01-05T23:13:39.076Z,2021-03-18,2021-07-19,False,This petition is not environmental in nature.
600593,https://petition.parliament.uk/petitions/600593.json,closed,Make the use of free-running snares illegal for trapping wildlife,"The Government should prohibit the sale, use and manufacture of free-running snares under the Wildlife and Countryside Act 1981, putting them in the same category as self-locking snares, which are already illegal.","We believe that people setting free-running snares cannot ensure animal welfare as required under the Animal Welfare Act 2006, that such snares cause unnecessary suffering to mammals, are indiscriminate and should be banned.",102616,2021-11-05T14:54:56.820Z,2022-01-13,,True,"This petition is related to wildlife and the use of snares, which is an environmental issue."
563943,https://petition.parliament.uk/petitions/563943.json,closed,Continue the ban on the use of Neonicotinoids,"The EU placed a ban on the use of Neonicotinoids due to the adverse effect it has on bees and other pollinators. As the UK has left the EU, the Government should uphold these restrictions in order to protect natural pollinators.","I am an ordinary UK resident who is concerned about the state of our declining wildlife. We have the responsibility to protect it and ensure that we can support it and prevent species becoming obsolete. With regards to bees and other pollinators that are affected by these pesticides, their decline will have a knock on effect with fruit and flower growers as well as honey producers many of whom are small businesses who will lose their livelihoods.",91266,2020-12-17T10:59:38.711Z,2021-02-17,,True,This petition is related to protecting natural pollinators.
581402,https://petition.parliament.uk/petitions/581402.json,closed,Make the use of free-running snares illegal for trapping wildlife,"The Government should prohibit the sale, use and manufacture of free-running snares under the Wildlife and Countryside Act 1981, putting them in the same category as self-locking snares, which are already illegal.","We believe that people setting free-running snares cannot ensure animal welfare as required under the Animal Welfare Act 2006, that such snares cause unnecessary suffering to mammals, are indiscriminate and should be banned.",84636,2021-03-27T13:32:45.695Z,2021-06-25,,True,"This petition is related to wildlife and the use of snares, which is an environmental issue."
580646,https://petition.parliament.uk/petitions/580646.json,closed,Shift to a Wellbeing Economy: put the health of people and planet first,"We urgently need the Government to prioritise the health and wellbeing of people and planet, by pursuing a Wellbeing Economy approach. To deliver a sustainable and equitable recovery, the Treasury should target social and environmental goals, rather than fixating on short-term profit and growth.","A narrow focus on GDP growth has led us to environmental, health and financial crises. The UK is the 6th largest economy in the world, yet roughly a third of our children live in poverty. Two thirds of the public want the Treasury to put wellbeing above growth. Scotland and Wales are already part of the Wellbeing Economy Governments alliance. As host of the COP26 climate summit, the UK Government should build and champion a Wellbeing Economy - at home and globally.",67908,2021-03-21T13:15:00.729Z,2021-05-25,,True,"This petition is related to a wellbeing economy, which includes environmental goals."
320507,https://petition.parliament.uk/petitions/320507.json,closed,Allow Salons and Tattoo parlors to open at same time as hairdressers,"We would like all Beauty salons, Aesthetic Clinics, Semi Permanent Makeup Salons and Tattoo Parlours to be placed in the same category as hair salons when considering who can open in the next phase of Covid-19 recovery strategy.","I myself am a Semi Permanent Makeup artist and having worked in this industry, know how incredibly sterile our environments are. Even before Covid-19 we would sanitise our work stations before and after each client, wear face masks to prevent breathing in airborne blood spores, disposable gloves and disposable aprons. As well as using equipment that is either single use or protected with barrier tape and then sterilised after. 

I feel that we’re in a better position than hair salons to protect ourselves and our clients against infection and therefore should be put in the same category as them.",61486,2020-05-12T13:12:13.151Z,2020-07-17,,False,"This petition is related to salons, which is not an environmental issue."
580772,https://petition.parliament.uk/petitions/580772.json,closed,Mandatory printing of car registration numbers on all Drive Thru packaging.,"I would like to get all Drive Thru retailers to be required to print car registrations on all take away packaging. Hopefully, to cut down on the amount of litter that is blighting roadsides all over the country.","To help cut rubbish being dumped on the road sides, and make companies and customers accountable for their litter. This will not only be good for the environment, improve areas and peoples mental health. This will also save Local Authorities millions of tax payers money in clearing up the litter.",60050,2021-03-22T16:06:45.455Z,2021-04-22,,False,"This petition is related to car registrations, which is not an environmental issue."
311642,https://petition.parliament.uk/petitions/311642.json,closed,"Cancel HS2 and use the money for the NHS and local economies, post Covid-19.",Change the decision to proceed with HS2 and use the billions of pounds to help the NHS and the economy recover.,"The Covid-19 outbreak has decimated the NHS and damaged the economy like nothing before. The decision to continue spending money on the HS2 is flawed and should be urgently reviewed. We cannot use the excuse that we need HS2 to aid the economy, as there is a much greater need for the money elsewhere and the economy will need to focus on the basics and local economies for years to come. The land purchased and re-designated can be used for building homes and business units, which will aid our recovery.",58743,2020-03-28T19:01:09.461Z,2020-06-01,,False,"This petition is related to HS2, which is not an environmental issue."
590309,https://petition.parliament.uk/petitions/590309.json,closed,"Ban urban and garden pesticides to protect bees, other wildlife and human health","Ban the use of pesticides in urban areas & end their sale for use in gardens. There is simply no need to spray poisons in our streets, parks & gardens for cosmetic purposes, where they harm bees & other wildlife & pose a risk to human health. Safe alternatives are available, where necessary.","Wild bees & other wildlife are in decline, a potential catastrophe for us all. Pesticides also threaten human health, many of them being carcinogens &/or neurotoxins. One way to help combat bee decline is to encourage them in urban areas. Our 22 million gardens, plus parks, road verges & other green spaces could form a network of wildlife friendly habitats. This will only work if, like France, we stop spraying pesticides in gardens and public urban spaces.",53906,2021-06-30T14:37:46.860Z,2021-08-19,,True,"This petition is related to pesticides, which is an environmental issue."
569214,https://petition.parliament.uk/petitions/569214.json,closed,Overturn the decision to allow the use of neonicotinoid pesticides,Defra has granted farmers in England the temporary right to use the insecticide thiamethoxam for a 120-day period to combat a virus in sugar beet. This pesticide is proven to be harmful to bees which are vital pollinators and already suffering population decline. The decision needs to be reversed.,"No one crop is important enough to jeopardise bees, without which our entire food system would be at risk. This pesticide is banned in the EU on the basis of its proven harm to pollinators and to use it even for a short period will contaminate soil and water. Although bees are dormant during winter the 120 day period will include the spring when they emerge to begin foraging.",51645,2021-01-10T13:19:00.842Z,2021-02-23,,True,"This petition is related to neonicotinoid pesticides, which is an environmental issue."
597282,https://petition.parliament.uk/petitions/597282.json,closed,Cancel GCSE and A-Level Exams for Summer 2022 due to lack of proper education,"Students would like the government and the department for education to cancel all GCSE and A-Level exams for summer 2022 and to have this replaced with the predicted grades, that was successfully operated in the summer of 2021.","Due to the lack of support from online learning during the closure of all schools in the UK, many students don't have the sufficient education to undertake these exams without severe psychological distress. In addition to this, the majority of education establishments in the UK didn't have the capable needs to supply education from a remote learning environment. The overall causality will be a huge amount of failing students whom will not be able to apply to university or find a proper career.",47299,2021-09-17T12:36:40.023Z,2022-01-10,,False,"This petition is related to exams, which is not an environmental issue."
303345,https://petition.parliament.uk/petitions/303345.json,closed,Pay self employed workers a wage due to lack of earnings caused by COVID-19.,"For the government to have a debate and authorise a top up of wages for the self-employed during the coronavirus outbreak. 

Regardless if they are infected or not, less people are travelling and going to work on a daily basis creating a loss of income.","For example, if somebody would usually make £1kpw but only makes £400pw due to Covid-19 the government should arrange a cash payout.  This will cover the extra £600 to help with the cost of living, household bills, mortgages and various other expenses required to sustain.

The self employed will struggle and could end up in debt due to the outbreak and loss of earnings, creating a deficit due to not being able to keep up with payments.",46574,2020-03-15T20:51:11.767Z,2020-04-15,,False,"This petition is related to wages, which is not an environmental issue."
332711,https://petition.parliament.uk/petitions/332711.json,closed,Reject the proposals for Junction 10 of the A3/M25,Calls on the Secretary of State for Transport to reject the Development Consent Order for Highways England’s proposals for Junction 10 of the A3/M25. Urges the Secretary of State to adopt the Alternative Scheme advocated by the RHS to protect the local environment and RHS Garden Wisley.,"We believe the proposals from Highways England for Junction 10 of the A3/M25 are flawed because an Alternative has not been considered, and that the DCOs scheme unnecessarily threatens the environment including the future of RHS Garden Wisley. The proposals would put the RHS under huge financial burden; the increased journey time to the Garden could lose the RHS £6.6m during the construction period & lead to a loss of £19.2m over 10-years. The Garden risks the loss of 44 ancient trees on the boundary of RHS Wisley.",46388,2020-07-24T12:08:57.683Z,2020-08-24,,True,"This petition is related to the A3/M25 Junction 10, which is an environmental issue."
550951,https://petition.parliament.uk/petitions/550951.json,closed,Referendum on re-joining the EU,The Government should give UK voters the opportunity to vote on whether they want the Government to open negotiations on re-joining the European Union.,"The nature of UK's European Union departure now seems unrecognisable from the promises of the Vote Leave campaign. Promises made in 2016 have not and cannot be delivered.
 
The Government now is proposing a version of Brexit that I don’t think anyone voted for. This is an affront to democratic norms. A second referendum is long overdue following a catalogue of broken promises. UK voters now finally deserve to have another say.",43263,2020-09-11T18:11:48.212Z,2021-01-22,,False,Not environmental in nature
579802,https://petition.parliament.uk/petitions/579802.json,closed,Fund NHS scheme for women with Endometriosis to freeze their eggs,"Women with endometriosis should have the option to freeze their eggs on the NHS, due to the high percentage of infertility (30-50%). Women undergoing chemotherapy have around a 40% chance of being infertile, yet they can get their eggs frozen on the NHS and women with endometriosis cannot.","Endometriosis is a debilitating disease where the lining of the uterus (endometrium) grows in ectopic sites, such as the ovaries, fallopian tubes and the pelvis. It occurs in 1 in 10 women but takes approximately 7 years to get diagnosed.
 
Around 30-50% of women with endometriosis are infertile and as there is no cure for endometriosis, there are very limited options to conceive naturally. One way of managing symptoms is surgery, which actually increases the chances of infertility.",41759,2021-03-15T11:42:08.973Z,2021-04-23,,False,Not environmental in nature
560288,https://petition.parliament.uk/petitions/560288.json,closed,Make glue traps illegal within the UK,Make it illegal for both glue traps to be sold and used within the UK to stop the suffering of animals.,Glue traps are used commonly to capture wildlife and unwanted pests. Glue traps are extremely inhumane and it’s not just vermin that get caught on these traps. Animals can suffer for days whilst stuck to this trap leading to starvation and dehydration and some animals even chew their own limbs off to escape. This is a painful and torturous way to capture and get rid of animals and many animals suffer unnecessarily.,41190,2020-11-12T18:18:46.530Z,2021-04-21,,True,"Makes glue traps illegal, which is an environmental issue"
314968,https://petition.parliament.uk/petitions/314968.json,closed,Include animal charities in emergency funding due to the coronavirus pandemic.,"The government have announced financial help packages for charities but animal welfare charities are not included.
Many animal charities (wildlife, rescue, service & companion animal charities) will be forced to close due to lack of funding during this terrible time.","Animal welfare charities are often excluded from funding opportunities (the National Lottery being a good case in point).
My own interest, wildlife rehabilitation, is necessary because of the damage that we do to wild animals and their habitats.
Over 95% of the casualties that we treat annually have sustained their injuries through interaction with humans (road accidents, poisoning, litter related injuries, house building, habitat destruction - the list is endless). Funding needs to be available.",40095,2020-04-09T11:45:11.760Z,2020-07-15,,False,Not environmental in nature
626737,https://petition.parliament.uk/petitions/626737.json,open,Make swift bricks compulsory in new housing to help red-listed birds ,"Swifts have declined by over 50% in the UK. Adult swifts, known for site-fidelity, return to the same nests. We want swift bricks to be required in all new housing, to provide homes for these birds. Surveys show these are used by red-listed swifts, house martins, starlings and house sparrows. ","Swifts spend more time airborne than any other bird, sometimes only landing when returning to their nests in our walls, from Africa. They're tidy and quiet neighbours but modern building methods block swifts out.

The metric for calculating biodiversity net gain doesn't include existing nest sites in buildings, or swift bricks, but these bricks can be designed into buildings without conflicting with insulation, and should be made a requirement for new housing.

Iconic and irreplaceable, swifts define our summers. Please help them. The RSPB supports this petition.
",39943,2022-10-25T11:02:23.608Z,2022-12-01,,True,"Encourages the use of swift bricks to provide homes for red-listed swifts, which is an environmental issue"
330298,https://petition.parliament.uk/petitions/330298.json,closed,Take action to end factory farming and reduce meat and dairy consumption,"In order to improve public health, combat climate change and reduce animal suffering, the Government should:

1. Commit to end factory farming, starting by phasing out existing ‘megafarms'.
2. Set a target of a 50% reduction in meat and dairy consumption by 2030 and impose taxes to achieve this.","Factory farming can spread disease and cause animal suffering and is contributing to climate change, with over 37% of methane emissions originating from factory farming.

Meat and dairy consumption can also negatively impact human health, and WHO has classified processed meat as a Group 1 carcinogen.",37254,2020-07-03T13:25:49.671Z,2020-11-17,,True,"Aims to end factory farming and reduce meat and dairy consumption, which are environmental issues"
328201,https://petition.parliament.uk/petitions/328201.json,closed,Free leaseholders trapped in new build properties by post-Grenfell EWS1 form,"Fire safety is a natural concern within the building sector after the Grenfell tragedy.

The EWS1 form is designed to identify tall buildings where lives are at risk, but leaseholders in safe, modern, and even <18m buildings are left unable to sell or remortgage as lenders demand invasive surveys.","Three issues need resolving:
1) Lenders should not be able to require an EWS1 form for buildings that were never intended to need one. 

2) Building surveyors, rather than fire engineers, need to be insured to carry out surveys on low risk buildings, to help reduce the two-year backlog which is trapping residents. 

3) Requiring invasive surveys to establish new building safety is a Pandora’s box. Engineers, architects and builders must be compelled to produce evidence of safe construction.",33104,2020-06-19T09:25:34.522Z,2020-09-16,,False,Not environmental in nature
585520,https://petition.parliament.uk/petitions/585520.json,closed,Ban the sale of artificial grass,It is environmentally irresponsible to allow garden space occupied by grass & other plant life (which processes CO2 & supports wildlife) to be replaced by plastic which does not biodegrade.,"Natural Grass & Plants encourage a healthy ecosystem, capturing CO2.
 
Banning the sale of artificial grass could be a small step towards increasing the UK biodiversity, reducing our carbon footprint & helping our ever dwindling insect & wildlife population. Artificial grass:

1) Creates huge volumes of plastic
2) Can’t always be recycled
3) Can pollute soil with microplastics
4) Has a large carbon footprint
5) Contributes to flooding
6) Can overheat making artificial grass lawns unusable
7) Has NO wildlife benefit",32727,2021-05-10T10:21:50.838Z,2021-06-08,,True,"Aims to ban the sale of artificial grass, which is an environmental issue"
566217,https://petition.parliament.uk/petitions/566217.json,closed,Prioritise special school staff in Covid 19 vaccinations.,The unique requirements of working with children with additional needs means that social distancing and effective use of PPE is virtually impossible. Vaccinating special school staff will also offer protection to the children and their families.,"In addition, there will be some difficulties in administration of testing amongst many SEN children for a variety of reasons. Special schools will be unable to rely on testing as a way of ensuring school is covid free, as well as being unable to always understand when a child is unwell due to communication difficulties. Government currently expects SEN schools to remain open but should understand that the staff working in these environments are at considerable risk and should be prioritised.",29438,2021-01-02T18:01:01.871Z,2021-03-23,,False,Not environmental in nature
555408,https://petition.parliament.uk/petitions/555408.json,closed,Do not require salons to close due to Covid-19,We need our salons and industry open to save small businesses like mine and others. Closures have to stop. Please let us open our doors and stay safe while working. Our industry is one of the safest and most sanitised environments to be in. Even pre-Covid health and safety was a priority for salons.,"The Northern Ireland government has decided that close contacted services like getting your hair done cannot be allowed to operate. This should not happen in England.
Save our industry. Ensure there are no more closures.
",28901,2020-10-21T07:46:45.100Z,2020-11-18,,False,Not environmental in nature
552306,https://petition.parliament.uk/petitions/552306.json,closed,Remove guidance and funding for temporary traffic measures that cause congestion,"Road closures, ‘school streets’ and new cycle lanes are creating severe congestion, long traffic delays and severe frustration across the country. Although well intentioned, the experiment has failed. Government guidance supporting such measures, and funds for them, should be withdrawn immediately.","Many councils have introduced schemes touted as encouraging walking and cycling, but their real impact is gridlock. They've been built without proper consultation, illegitimately justified by the Covid crisis and backed by central government direction and finance.

Congestion and pollution have increased, people are inconvenienced, local businesses have lost trade and lives jeopardised with emergency vehicles stuck in traffic. Cycle tracks are often empty, while the roads alongside are jammed.",27913,2020-09-24T10:45:32.148Z,2020-10-27,,True,"The petition name relates to climate change, net zero, carbon emissions, air pollution, water pollution, wildlife, active travel, cycling, or footpaths."
317343,https://petition.parliament.uk/petitions/317343.json,closed,Rebuild the economy out of lockdown with a Green New Deal,"In response to the Covid-19 pandemic, Government has intervened in the economy in an unprecedented way.

The recovery must not simply reinstate 'business as usual' – Parliament must introduce a radical 10-year strategy for public investment to decarbonise the economy and eradicate inequality.","UK Parliament declared a Climate Emergency on 1 May 2019, but our emissions reduction efforts have so far fallen dangerously short.

The Covid-19 pandemic has highlighted both the power of Government to make rapid changes to protect people, and the extreme costs of delay.

The economic lockdown, while painful for so many, has resulted in a significant cut in emissions.

We must rebuild from the Coronavirus tragedy with the economic and social renewal mapped out by the cross-party Green New Deal Bill.",27768,2020-04-19T13:52:44.497Z,2020-07-21,,True,"The petition name relates to climate change, net zero, carbon emissions, air pollution, water pollution, wildlife, active travel, cycling, or footpaths."
608295,https://petition.parliament.uk/petitions/608295.json,closed,"Introduce an ""Ecological Damage Tax"" on Astroturf Lawns / Artificial Grass","Introduce a tax on Astroturf Lawns (either on the import, sale or install) in order to act as a deterrent and encourage land owners towards less damaging and more sustainable ""low maintenance"" landscaping options that are good for wildlife and climate.","UK Gardens occupy more land than our Nature Reserves combined and are vital habitats for wildlife, providing food, shelter and a home for so many declining species. Vegetation and soils also store carbon, helping us to meet Paris & COP26 targets. Plastic grass is a rapidly growing trend and is causing loss of habitat, plastic production emissions, added strain on our waste sector, removing natural water retention in soils and aiding flooding. We desperately need a regulation or deterrent.",26442,2022-02-07T17:13:49.603Z,2022-05-31,,True,"The petition name relates to climate change, net zero, carbon emissions, air pollution, water pollution, wildlife, active travel, cycling, or footpaths."
